Nazwa funduszu,Kurs,Waluta,St. zw. 1D,St. zw. 7D,St. zw. 1M,St. zw. 3M,St. zw. 1R,St. zw. 3L,Data,Ranking 12M
Allianz Stabilnego Wzrostu (Allianz FIO),"124,67",PLN,"-0,05","0,55","1,57","1,27","-6,29","-2,59",2016-03-22,
Allianz Surowców i Energii (Allianz FIO),"92,21",PLN,"-0,03","1,47","8,79","3,72","-11,11","0,00",2016-03-22,-
ALTUS Absolutnej Stopy Zwrotu Dłużny (FIO Parasolowy),"117,08",PLN,"0,03","0,17","0,93","4,49","2,02","12,96",2016-03-22,-
ALTUS Absolutnej Stopy Zwrotu FIZ GlobAl,"105,56",PLN,"0,00","0,00","0,07","0,00","0,00","0,00",2016-03-23,-
ALTUS Absolutnej Stopy Zwrotu FIZ Obligacji 1,"129,59",PLN,"0,00","0,00","0,59","0,00","0,00","0,00",2016-03-23,-
ALTUS Absolutnej Stopy Zwrotu FIZ Rynku Polskiego 2,"144,16",PLN,"0,00","0,00","0,90","0,00","0,00","0,00",2016-03-23,-
ALTUS Absolutnej Stopy Zwrotu Nowej Europy (FIO Parasolowy),"109,42",PLN,"0,14","0,89","0,96","0,77","0,83","0,00",2016-03-22,-
ALTUS Absolutnej Stopy Zwrotu Rynków Zagranicznych (ALTUS Absolutnej Stopy Zwrotu FIZ),"225,51",PLN,"0,00","0,00","0,71","0,00","0,00","0,00",2016-03-23,-
ALTUS Absolutnej Stopy Zwrotu Rynku Polskiego (ALTUS Absolutnej Stopy Zwrotu FIZ),"221,82",PLN,"0,00","0,00","0,86","0,00","0,00","0,00",2016-03-23,-
ALTUS Absolutnej Stopy Zwrotu Rynku Polskiego (FIO Parasolowy),"134,80",PLN,"0,21","0,54","0,50","0,54","0,49","10,68",2016-03-22,-
ALTUS Akcji (FIO Parasolowy),"143,93",PLN,"0,17","1,67","3,33","0,88","-7,03","13,49",2016-03-22,
ALTUS Aktywnego Zarządzania (FIO Parasolowy),"110,74",PLN,"0,00","0,86","1,21","0,64","-2,93","0,00",2016-03-22,
ALTUS FIZ Akcji +,"124,75",PLN,"0,00","0,00","1,07","0,00","0,00","0,00",2016-03-23,
ALTUS FIZ Aktywnej Alokacji Spółek Dywidendowych,"125,33",PLN,"0,00","0,00","0,29","0,00","0,00","0,00",2016-03-23,-
ALTUS FIZ Aktywny Akcji,"103,66",PLN,"0,00","0,00","1,95","0,00","0,00","0,00",2016-03-23,
ALTUS FIZ GlobAl 2,"108,05",PLN,"0,00","0,00","0,51","0,00","0,00","0,00",2016-03-23,-
ALTUS NSFIZ Wierzytelności,"218 343,00",PLN,"0,00","0,00","0,37","1,67","0,00","0,00",2016-03-23,-
ALTUS NSFIZ Wierzytelności 2,"199 860,00",PLN,"0,00","0,00","0,74","0,09","0,00","0,00",2016-03-23,-
ALTUS Optymalnego Wzrostu (FIO Parasolowy),"109,78",PLN,"0,08","0,41","0,46","-0,02","0,19","0,00",2016-03-22,-
ALTUS Pieniężny (FIO Parasolowy),"106,33",PLN,"0,00","0,09","0,43","1,42","1,57","0,00",2016-03-22,
ALTUS Short (FIO Parasolowy),"107,16",PLN,"-0,63","-2,76","-4,80","-3,78","12,24","17,56",2016-03-22,-
ALTUS Stabilnego Wzrostu (FIO Parasolowy),"118,10",PLN,"0,11","0,74","1,71","0,66","-1,82","0,00",2016-03-22,
Amundi Akcji Małych i Średnich Spółek (Amundi Parasolowy FIO),"103,27",PLN,"0,02","0,35","3,03","-0,31","-6,32","0,00",2016-03-22,
Amundi Akcyjny (Amundi Parasolowy FIO),"88,42",PLN,"0,29","0,57","3,74","-0,05","-14,31","0,00",2016-03-22,
Amundi Globalnych Perspektyw (Amundi Parasolowy FIO),"100,30",PLN,"0,06","0,22","1,32","0,00","0,00","0,00",2016-03-22,-
Amundi Obligacji (Amundi Parasolowy FIO),"106,56",PLN,"0,01","0,01","1,02","0,16","-2,94","0,00",2016-03-22,
Amundi Płynnościowy (Amundi Parasolowy FIO),"104,03",PLN,"-0,01","0,01","0,11","0,56","1,56","0,00",2016-03-22,
Amundi Stabilnego Wzrostu (Amundi Parasolowy FIO),"101,56",PLN,"0,10","0,16","1,26","-0,38","-5,88","0,00",2016-03-22,
Amundi Zrównoważony (Amundi Parasolowy FIO),"97,36",PLN,"0,11","0,33","2,16","-0,63","-8,50","0,00",2016-03-22,
Andromeda FIZ seria A,"1 189,46",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
Andromeda FIZ seria B,"1 091,43",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
Arka BZ WBK Akcji Polskich (Arka BZ WBK FIO),"30,21",PLN,"0,03","1,04","3,46","1,27","-14,35","-5,95",2016-03-22,
Arka BZ WBK Akcji Środkowej i Wschodniej Europy (Arka BZ WBK FIO),"37,00",PLN,"-1,02","-0,27","4,64","2,01","-13,63","-18,27",2016-03-22,
Arka BZ WBK Akcji Środkowej i Wschodniej Europy (EUR) (Arka BZ WBK FIO),"8,69",EUR,"-0,99","0,28","7,25","1,58","-16,34","-19,67",2016-03-22,-
Arka BZ WBK Akcji Środkowej i Wschodniej Europy FIZ,"95,05",PLN,"-1,03","0,02","5,48","0,00","0,00","0,00",2016-03-22,
Arka BZ WBK Akcji Tureckich (Arka BZ WBK FIO),"39,02",PLN,"-2,40","0,67","5,63","7,70","-12,04","-24,82",2016-03-22,-
Arka BZ WBK Akcji Tureckich (EUR) (Arka BZ WBK FIO),"9,16",EUR,"-2,37","1,22","8,27","7,25","-14,79","-26,11",2016-03-22,-
Arka BZ WBK Gotówkowy (Arka BZ WBK FIO),"29,16",PLN,"-0,03","-0,03","0,10","0,66","1,11","5,73",2016-03-22,
Arka BZ WBK Obligacji Europejskich (Arka BZ WBK FIO),"78,94",PLN,"-0,04","-0,47","-2,01","0,69","2,00","6,43",2016-03-22,-
Arka BZ WBK Obligacji Europejskich (EUR) (Arka BZ WBK FIO),"18,53",EUR,"-0,01","0,08","0,44","0,27","-1,19","4,61",2016-03-22,-
Arka BZ WBK Obligacji Korporacyjnych (Arka BZ WBK FIO),"59,03",PLN,"0,02","0,05","0,77","0,58","0,67","8,87",2016-03-22,
Arka BZ WBK Obligacji Skarbowych (Arka BZ WBK FIO),"21,10",PLN,"-0,05","0,00","0,29","1,34","-0,57","9,38",2016-03-22,
Arka BZ WBK Stabilnego Wzrostu (Arka BZ WBK FIO),"29,71",PLN,"0,00","0,37","1,47","0,95","-5,95","3,30",2016-03-22,
Arka BZ WBK Zrównoważony (Arka BZ WBK FIO),"27,95",PLN,"0,00","0,50","2,34","0,94","-9,28","1,60",2016-03-22,
Arka Platinum Dynamiczny (Arka BZ WBK FIO),"37,91",PLN,"0,18","-0,11","1,17","-2,42","-9,02","0,00",2016-03-22,-
Arka Platinum Dynamiczny (EUR) (Arka BZ WBK FIO),"8,90",EUR,"0,22","0,44","3,70","-2,83","-11,87","0,00",2016-03-22,-
Arka Platinum Dynamiczny (USD) (Arka BZ WBK FIO),"9,97",USD,"-0,26","1,59","4,86","-0,41","-7,49","0,00",2016-03-22,-
Arka Platinum Konserwatywny (Arka BZ WBK FIO),"61,85",PLN,"-0,02","0,02","0,57","0,32","-2,00","0,00",2016-03-22,
Arka Platinum Stabilny (Arka BZ WBK FIO),"59,49",PLN,"0,07","-0,02","0,75","-1,03","-5,15","0,00",2016-03-22,-
Arka Platinum Stabilny (EUR) (Arka BZ WBK FIO),"13,97",EUR,"0,10","0,53","3,26","-1,45","-8,12","0,00",2016-03-22,-
Arka Platinum Stabilny (USD) (Arka BZ WBK FIO),"15,65",USD,"-0,37","1,68","4,42","1,00","-3,55","0,00",2016-03-22,-
Arka Prestiż Akcji Europejskich (Arka Prestiż SFIO),"1 052,40",PLN,"-0,28","-0,49","5,45","0,00","0,00","0,00",2016-03-22,-
Arka Prestiż Akcji Polskich (Arka Prestiż SFIO),"1 173,17",PLN,"0,03","0,54","4,51","1,11","-6,89","17,66",2016-03-22,
Arka Prestiż Akcji Środkowej i Wschodniej Europy (Arka Prestiż SFIO),"981,71",PLN,"-1,07","0,14","4,37","3,03","-4,78","-10,52",2016-03-22,
Arka Prestiż Europejskich Spółek Dywidendowych (Arka Prestiż SFIO),"1 016,55",PLN,"-0,18","-0,71","1,86","0,00","0,00","0,00",2016-03-22,-
Arka Prestiż Gotówkowy (Arka Prestiż SFIO),"1 041,62",PLN,"-0,03","0,00","0,08","0,76","1,05","0,00",2016-03-22,
Arka Prestiż Obligacji Korporacyjnych (Arka Prestiż SFIO),"1 256,20",PLN,"0,03","0,05","0,82","0,59","0,92","10,27",2016-03-22,
Arka Prestiż Obligacji Skarbowych (Arka Prestiż SFIO),"1 334,13",PLN,"-0,05","0,11","0,39","1,58","-0,45","10,89",2016-03-22,
Aviva Investors Akcji Europy Wschodzącej (Aviva Investors FIO),"86,92",PLN,"-0,84","1,41","4,60","2,33","-11,09","-29,03",2016-03-22,
Aviva Investors Akcji Rynków Wschodzących (Aviva Investors FIO),"109,41",PLN,"0,22","1,16","2,31","2,28","-10,43","-1,63",2016-03-22,
Aviva Investors Aktywnej Alokacji (Aviva Investors FIO),"111,56",PLN,"0,01","0,13","3,10","-1,67","-7,58","18,40",2016-03-22,-
Aviva Investors Depozyt Plus (Aviva Investors FIO),"175,62",PLN,"-0,02","-0,01","0,09","0,64","0,45","3,93",2016-03-22,
Aviva Investors Dłużnych Papierów Korporacyjnych (Aviva Investors FIO),"122,56",PLN,"0,01","0,16","0,87","0,49","1,40","10,17",2016-03-22,
Aviva Investors Małych Spółek (Aviva Investors FIO),"155,07",PLN,"0,25","1,11","3,63","0,32","-3,17","6,95",2016-03-22,
Aviva Investors Nowoczesnych Technologii (Aviva Investors FIO),"137,86",PLN,"0,12","0,48","2,72","0,10","-4,74","19,10",2016-03-22,-
Aviva Investors Nowych Spółek (Aviva Investors FIO),"155,22",PLN,"0,08","1,11","3,10","0,16","-8,09","8,90",2016-03-22,
Aviva Investors Obligacji (Aviva Investors FIO),"227,73",PLN,"0,07","0,16","0,30","1,69","0,71","8,02",2016-03-22,
Aviva Investors Obligacji Dynamiczny (Aviva Investors FIO),"142,18",PLN,"0,09","0,39","0,90","2,56","2,72","20,96",2016-03-22,
Aviva Investors Obligacji Zamiennych (Aviva Investors FIO),"99,25",PLN,"0,06","0,32","2,17","-1,03","-2,67","0,00",2016-03-22,
Aviva Investors Ochrony Kapitału Plus (Aviva Investors FIO),"170,87",PLN,"-0,02","0,18","0,76","0,89","-0,33","2,18",2016-03-22,
Aviva Investors Optymalnego Wzrostu (Aviva Investors FIO),"108,11",PLN,"0,20","0,75","0,84","-2,49","-15,00","-7,54",2016-03-22,-
Aviva Investors Polskich Akcji (Aviva Investors FIO),"409,01",PLN,"0,06","0,61","3,85","1,82","-11,52","3,87",2016-03-22,
Aviva Investors Spółek Dywidendowych (Aviva Investors SFIO),"118,63",PLN,"-0,01","1,51","4,29","5,32","-8,32","0,00",2016-03-22,
Aviva Investors Stabilnego Inwestowania (Aviva Investors FIO),"266,27",PLN,"0,03","0,20","1,27","1,26","-4,15","6,60",2016-03-22,
Aviva Investors Zrównoważony (Aviva Investors FIO),"116,80",PLN,"0,07","0,39","1,90","1,42","-7,09","5,23",2016-03-22,
Aviva Oszczędnościowy (Aviva SFIO),"97,66",PLN,"-0,26","-0,80","-1,43","-1,64","0,00","0,00",2016-03-22,-
AXA Akcji (AXA FIO),"99,35",PLN,"0,09","1,43","2,55","-1,97","-18,20","-5,35",2016-03-22,
AXA Akcji Dużych Spółek (AXA FIO),"103,86",PLN,"-0,02","1,30","2,96","0,35","-14,99","-2,07",2016-03-22,
AXA Akcji Małych i Średnich Spółek (AXA FIO),"101,83",PLN,"-0,84","-0,35","0,77","-2,17","-10,41","0,00",2016-03-22,
AXA Akcji Spółek Dywidendowych (AXA FIO),"95,20",PLN,"-0,69","1,80","3,53","1,72","-14,51","0,00",2016-03-22,
AXA FIZ Globalnych Akcji,"900,11",PLN,"0,00","0,00","-3,50","0,00","0,00","0,00",2016-03-23,-
AXA FIZ Globalnych Obligacji,"1 126,81",PLN,"0,00","0,00","-0,03","0,00","0,00","0,00",2016-03-23,-
AXA Lokacyjny (AXA FIO),"119,27",PLN,"-0,02","0,04","0,30","0,81","1,37","6,68",2016-03-22,
AXA Makro Alokacji (AXA FIO),"101,90",PLN,"-0,09","0,52","1,16","-1,15","-13,75","-6,32",2016-03-22,
AXA Obligacji (AXA FIO),"131,53",PLN,"-0,06","0,05","0,27","1,12","0,10","10,26",2016-03-22,
AXA Obligacji Korporacyjnych (AXA FIO),"125,71",PLN,"0,01","0,18","0,75","0,53","-0,02","7,39",2016-03-22,
AXA Selective Equity (AXA FIO),"118,43",PLN,"-1,09","-0,50","-0,08","-5,27","-20,95","5,08",2016-03-22,
AXA Selective Equity F (AXA FIO),"120,35",PLN,"0,10","-0,28","2,03","0,00","0,00","0,00",2016-03-17,-
AXA Stabilnego Wzrostu (AXA FIO),"112,55",PLN,"-0,07","0,42","0,90","-0,78","-8,69","-0,25",2016-03-22,
BGŻ Dynamiczny (BGŻ SFIO),"97,21",PLN,"-0,17","0,32","2,74","0,27","-7,94","0,00",2016-03-22,
BGŻ Konserwatywny (BGŻ SFIO),"104,65",PLN,"0,01","0,03","0,46","1,04","-0,16","0,00",2016-03-22,-
BGŻ Stabilny (BGŻ SFIO),"101,74",PLN,"-0,01","0,01","0,96","0,57","-3,00","0,00",2016-03-22,
BGŻ Zrównoważony (BGŻ SFIO),"101,18",PLN,"-0,05","0,10","1,94","0,91","-4,75","0,00",2016-03-22,
BNP Paribas Akcji (BNP Paribas FIO),"125,49",PLN,"0,11","1,25","3,51","1,82","-10,86","8,45",2016-03-22,
BNP Paribas Papierów Dłużnych (BNP Paribas FIO),"124,66",PLN,"-0,05","0,10","0,41","1,36","0,80","9,87",2016-03-22,
BNP Paribas Stabilnego Wzrostu (BNP Paribas FIO),"138,18",PLN,"-0,03","0,44","1,33","1,48","-4,08","6,93",2016-03-22,
Bonus Wierzytelności DTP NSFIZ,"200 082,00",PLN,"0,00","0,00","0,01","0,00","0,00","0,00",2016-03-23,-
BPH Akcji (BPH FIO Parasolowy),"279,22",PLN,"0,30","1,78","5,12","4,23","-10,65","0,92",2016-03-22,
BPH Akcji Dynamicznych Spółek (BPH FIO Parasolowy),"49,30",PLN,"-0,06","0,86","2,49","-0,04","-4,77","18,23",2016-03-22,
BPH Akcji Dynamicznych Spółek (USD) (BPH FIO Parasolowy),"12,97",USD,"-0,54","2,53","6,22","1,97","-3,21","0,62",2016-03-22,-
BPH Akcji Europy Wschodzącej (BPH FIO Parasolowy),"57,29",PLN,"-0,40","1,33","5,20","4,62","-4,42","-14,45",2016-03-22,-
BPH Akcji Europy Wschodzącej (EUR) (BPH FIO Parasolowy),"13,45",EUR,"-0,37","1,89","7,77","4,18","-7,43","-15,94",2016-03-22,-
BPH Akcji Globalny (BPH FIO Parasolowy),"168,20",PLN,"0,40","1,81","3,70","1,10","-6,98","17,77",2016-03-22,
BPH Bezpieczna Inwestycja 1 FIZ,"175,70",PLN,"0,00","0,00","-0,05","0,00","0,00","0,00",2016-03-23,-
BPH Bezpieczna Inwestycja 2 FIZ,"147,98",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
BPH Bezpieczna Inwestycja 3 FIZ,"131,69",PLN,"0,00","0,00","0,20","0,00","0,00","0,00",2016-03-23,-
BPH Bezpieczna Inwestycja 4 FIZ,"120,67",PLN,"0,00","0,00","0,22","0,00","0,00","0,00",2016-03-23,-
BPH Bezpieczna Inwestycja 5 FIZ,"121,80",PLN,"0,00","0,00","0,21","0,00","0,00","0,00",2016-03-23,-
BPH Bezpieczna Inwestycja 6 FIZ,"113,09",PLN,"0,00","0,00","0,18","0,00","0,00","0,00",2016-03-23,-
BPH Dochodowych Surowców FIZ,"114,90",PLN,"0,00","0,00","0,12","0,00","0,00","0,00",2016-03-23,-
BPH Dywidendowy (BPH FIO Parasolowy),"108,05",PLN,"-0,13","1,10","5,77","0,00","0,00","0,00",2016-03-22,-
BPH FIO Strategii Akcyjnej,"1 079,67",PLN,"0,13","1,14","2,60","1,45","2,29","3,88",2016-03-22,-
BPH FIZ Multi Inwestycja,"92,16",PLN,"0,00","1,24","2,03","1,46","0,00","0,00",2016-03-22,-
BPH Globalny Żywności i Surowców (BPH FIO Parasolowy),"89,00",PLN,"-0,16","2,64","5,66","4,00","-14,67","-36,77",2016-03-22,-
BPH Korzystnego Kursu FIZ,"114,66",PLN,"0,00","0,00","-0,10","0,00","0,00","0,00",2016-03-23,-
BPH Obligacji 1 (BPH FIO Parasolowy),"283,84",PLN,"-0,10","0,04","0,42","1,30","1,24","8,81",2016-03-22,
BPH Obligacji 2 (BPH FIO Parasolowy),"3 379,35",PLN,"-0,10","0,04","0,42","1,28","0,69","13,69",2016-03-22,
BPH Obligacji Korporacyjnych (BPH FIO Parasolowy),"13,73",PLN,"0,00","0,07","0,37","0,59","1,93","0,00",2016-03-22,
BPH Obligacji Korporacyjnych (USD) (BPH FIO Parasolowy),"3,61",USD,"-0,55","1,69","4,03","2,56","3,44","0,00",2016-03-22,-
BPH Pieniężny (BPH FIO Parasolowy),"103,82",PLN,"-0,02","0,03","0,24","0,63","1,30","0,00",2016-03-22,
BPH Selektywny (BPH FIO Parasolowy),"148,12",PLN,"0,09","0,89","1,99","1,25","2,03","15,66",2016-03-22,-
BPH Skarbowy (BPH FIO Parasolowy),"34,69",PLN,"-0,03","0,00","0,14","0,49","0,52","4,90",2016-03-22,
BPH Stabilnego Wzrostu (BPH FIO Parasolowy),"16,87",PLN,"0,06","0,66","2,12","2,24","-3,60","4,78",2016-03-22,
BPH Superior Akcji (BPH Superior FIO),"99,17",PLN,"0,25","1,94","5,50","5,23","0,00","0,00",2016-03-22,-
BPH Superior Obligacji (BPH Superior FIO),"104,29",PLN,"-0,13","0,06","0,43","2,02","0,00","0,00",2016-03-22,-
BPH Superior Pieniężny (BPH Superior FIO),"101,52",PLN,"-0,03","0,00","0,16","0,77","0,00","0,00",2016-03-22,-
BPH Superior Selektywny (BPH Superior FIO),"107,19",PLN,"0,32","0,98","2,50","1,64","0,00","0,00",2016-03-22,-
BPH Zrównoważony (BPH FIO Parasolowy),"2,10",PLN,"0,00","0,96","3,45","2,94","-7,08","0,48",2016-03-22,
BPS Akcji (BPS FIO),"94,14",PLN,"1,15","2,20","5,23","3,09","-9,95","4,68",2016-03-23,
BPS Obligacji (BPS FIO),"132,61",PLN,"-0,20","0,02","0,38","1,56","0,31","14,37",2016-03-23,
BPS Obligacji Korporacyjnych (BPS SFIO),"1 103,87",PLN,"0,05","0,04","0,19","0,23","2,26","0,00",2016-03-23,
BPS Pieniężny (BPS FIO),"128,84",PLN,"0,02","0,12","0,54","0,71","1,33","0,00",2016-03-23,
BPS Płynnościowy (BPS SFIO),"1 088,93",PLN,"0,05","0,07","0,37","0,47","1,98","0,00",2016-03-23,
BPS Stabilnego Wzrostu (BPS FIO),"110,58",PLN,"0,46","0,89","2,07","2,47","-4,66","4,20",2016-03-23,
Caspar Akcji Polskich (Caspar Parasolowy FIO),"124,56",PLN,"-0,39","1,49","6,54","3,64","-10,47","9,64",2016-03-22,
Caspar Akcji Środkowej i Wschodniej Europy (Caspar Parasolowy FIO),"115,88",PLN,"-0,28","0,62","1,10","-3,84","0,00","0,00",2016-03-22,-
Caspar Akcji Tureckich (Caspar Parasolowy FIO),"96,61",PLN,"-1,13","1,55","3,66","7,13","-0,54","-8,31",2016-03-22,-
Caspar Globalny (Caspar Parasolowy FIO),"91,87",PLN,"0,33","0,24","1,07","-5,76","0,00","0,00",2016-03-22,-
Caspar Ochrony Kapitału (Caspar Parasolowy FIO),"104,67",PLN,"-0,03","0,00","0,11","0,74","1,14","0,00",2016-03-22,
Conerga greenENERGY FIZ AN,"127,79",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
Copernicus Akcji (Copernicus FIO),"114,84",PLN,"0,54","1,90","6,67","1,08","-5,44","25,70",2016-03-22,
Copernicus Dłużny Skarbowy Plus (Copernicus FIO),"116,84",PLN,"-0,06","0,04","0,33","1,02","-2,32","13,62",2016-03-22,
Copernicus Spółek Wzrostowych (Copernicus FIO),"162,36",PLN,"0,29","1,94","5,61","4,00","-5,47","33,72",2016-03-22,
CORUM Absolute Return FIZ,"13 418,10",PLN,"0,00","0,00","2,77","-10,11","10,63","21,99",2016-03-23,-
CORUM Opportunity Absolute Return FIZ,"15 241,80",PLN,"0,00","0,00","3,67","3,65","26,44","45,90",2016-03-23,-
CP Absolute Return (CP FIZ),"123,23",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
CP Private Equity (CP FIZ),"131,28",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
Credit Agricole Akcji Nowej Europy (Credit Agricole FIO),"78,47",PLN,"-1,39","-0,49","4,50","-0,01","-12,42","-22,03",2016-03-22,
Credit Agricole Akcyjny (Credit Agricole FIO),"98,35",PLN,"-0,20","0,18","3,85","0,84","-8,22","10,21",2016-03-22,
Credit Agricole Dynamiczny Polski (Credit Agricole FIO),"160,88",PLN,"-0,08","0,44","2,86","1,17","-6,78","5,80",2016-03-22,
Credit Agricole Lokacyjny (Credit Agricole FIO),"128,62",PLN,"-0,02","-0,02","0,06","0,42","0,12","3,22",2016-03-22,
Credit Agricole Stabilnego Wzrostu (Credit Agricole FIO),"225,44",PLN,"-0,09","0,04","1,55","0,82","-2,92","11,49",2016-03-22,
DB Fund Dynamiczny (DB Funds FIO),"12,45",PLN,"-0,08","0,65","4,53","1,30","-6,18","12,06",2016-03-22,
DB Fund Globalny Zrównoważony (DB Funds FIO),"11,48",PLN,"-0,09","-0,52","0,00","0,61","-0,35","10,28",2016-03-22,-
DB Fund Instrumentów Dłużnych (DB Funds FIO),"11,52",PLN,"0,00","-0,09","0,17","0,52","0,09","7,26",2016-03-22,
Distressed Assets FIZ AN,"1 255,25",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
Eques Akcji (Eques SFIO),"14,18",PLN,"0,35","2,23","4,96","6,46","-1,25","18,36",2016-03-22,
Eques Aktywnej Alokacji (Eques SFIO),"10,45",PLN,"0,38","2,15","1,85","0,77","-9,68","-6,19",2016-03-22,
Eques Creditum FIZ NFS,"189 326,00",PLN,"0,00","0,00","0,58","0,00","0,00","0,00",2016-03-23,-
Eques Debitum 2 FIZ NFS,"1 261,15",PLN,"0,00","0,00","0,43","0,00","0,00","0,00",2016-03-23,-
Eques Debitum FIZ NFS,"286 266,00",PLN,"0,00","0,00","0,54","0,00","0,00","0,00",2016-03-23,-
Eques Fotovoltaica FIZ,"993,24",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
Eques Obligacji (Eques SFIO),"11,82",PLN,"0,08","0,08","0,25","1,11","0,85","11,83",2016-03-22,
Eques Pieniężny (Eques SFIO),"11,65",PLN,"0,00","0,09","0,26","0,43","3,10","10,95",2016-03-22,
Eques Total Return FIZ,"892,21",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
Eurogeddon (Opera SFIO),"6,10",PLN,"0,00","-3,94","-7,99","0,99","20,79","-30,13",2016-03-22,-
FIAR Fixed Income Absolute Return FIZ,"1 028,05",PLN,"0,00","0,00","0,90","2,80","0,00","0,00",2016-03-23,-
First Private Equity FIZ AN,"1 454,70",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
FIZ AN Deweloperski Nieruchomości Komercyjnych SATUS,"670,35",PLN,"0,00","0,00","-0,17","0,00","0,00","0,00",2016-03-23,-
FIZ BDM Obligo,"1 045,15",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
FIZ Nieruchomości Dywidendowych,"100,07",PLN,"0,00","0,00","1,29","0,15","0,00","0,00",2016-03-23,-
Franklin Elastycznego Dochodu (FT FIO),"100,60",PLN,"-0,11","-0,03","0,00","0,00","0,00","0,00",2016-03-21,-
Franklin Zmiennej Alokacji (FT FIO),"100,53",PLN,"-0,12","0,11","0,00","0,00","0,00","0,00",2016-03-21,-
Fundusz Własności Pracowniczej PKP SFIO,"343,71",PLN,"-0,02","0,38","1,28","4,10","53,97","342,87",2016-03-22,-
Global Bond FIZ,"103,11",PLN,"0,00","0,00","0,16","0,00","0,00","0,00",2016-03-23,-
Globalny Fundusz Medyczny FIZ,"89,27",PLN,"0,00","0,00","2,32","0,00","0,00","0,00",2016-03-23,-
GO FUND Property FIZ,"1,04",PLN,"0,00","0,00","0,00","1,58","2,78","0,00",2016-03-23,-
HFT Akcji Amerykańskich FIZ,"116,15",PLN,"0,00","0,00","0,11","5,70","0,00","0,00",2016-03-23,-
HFT Algorytmiczny FIZ,"112,79",PLN,"0,00","0,00","0,00","3,02","0,00","0,00",2016-03-23,-
HFT Global Invest FIZ,"114,38",PLN,"0,00","0,00","0,04","6,88","0,00","0,00",2016-03-23,-
ING BSK Indeks MSCI EMU (ING BSK Fundusze Indeksowe SFIO),"89,70",PLN,"0,12","0,03","4,02","-4,47","0,00","0,00",2016-03-23,-
ING BSK Indeks S&P; 500 (ING BSK Fundusze Indeksowe SFIO),"97,84",PLN,"-0,07","1,63","5,10","0,12","0,00","0,00",2016-03-23,-
ING BSK Indeks WIG 20 (ING BSK Fundusze Indeksowe SFIO),"98,21",PLN,"0,52","2,91","5,33","4,06","0,00","0,00",2016-03-23,-
ING Pakiet Dynamiczny (ING Konto Funduszowe SFIO),"93,32",PLN,"-0,06","0,73","2,64","0,28","-7,81","0,00",2016-03-22,-
ING Pakiet Ostrożny (ING Konto Funduszowe SFIO),"100,29",PLN,"0,03","0,12","0,70","0,90","0,25","0,00",2016-03-22,
ING Pakiet Umiarkowany (ING Konto Funduszowe SFIO),"95,41",PLN,"-0,01","0,40","1,66","-0,08","-5,52","0,00",2016-03-22,-
Insignis FIZ,"1 094,13",PLN,"0,00","0,00","2,65","0,00","0,00","0,00",2016-03-23,-
InValue FIZ,"90,17",PLN,"0,00","0,00","0,79","-10,43","0,00","0,00",2016-03-23,-
Investor Absolute Return FIZ,"11 726,50",PLN,"0,00","0,00","0,51","0,00","0,00","0,00",2016-03-23,-
Investor Akcji (Investor FIO),"204,43",PLN,"-0,14","0,62","2,45","-1,89","-11,58","28,70",2016-03-22,
Investor Akcji Dużych Spółek Dywidendowych (Investor FIO),"336,40",PLN,"0,16","1,10","3,13","-1,07","-16,32","-4,61",2016-03-22,
Investor Akcji Rynków Wschodzących (Investor SFIO),"78,70",PLN,"0,14","4,20","7,81","3,00","0,00","0,00",2016-03-22,-
Investor Akcji Spółek Wzrostowych (Investor SFIO),"87,95",PLN,"0,37","1,38","3,01","-4,45","-12,05","0,00",2016-03-22,-
Investor Ameryka Łacińska (Investor SFIO),"131,04",PLN,"-0,85","1,63","14,56","14,12","-12,67","-26,30",2016-03-22,-
Investor BRIC (Investor SFIO),"61,44",PLN,"-0,18","1,94","9,73","-1,63","-17,40","-6,53",2016-03-22,-
Investor CEE FIZ,"411,03",PLN,"0,00","0,00","1,02","0,00","0,00","0,00",2016-03-23,
Investor FIZ,"907,76",PLN,"0,00","0,00","0,54","0,00","0,00","0,00",2016-03-23,-
Investor Globalny Akcji (Investor SFIO),"88,03",PLN,"0,09","1,31","4,01","-1,44","0,00","0,00",2016-03-22,-
Investor Gold FIZ,"1 573,35",PLN,"0,00","0,00","10,97","0,00","0,00","0,00",2016-03-23,-
Investor Gold Otwarty (Investor SFIO),"145,95",PLN,"-0,41","-0,05","2,26","14,22","-1,69","-24,28",2016-03-22,-
Investor Gotówkowy (Investor SFIO),"129,56",PLN,"-0,02","-0,02","0,09","0,65","0,45","5,07",2016-03-22,
