Nazwa funduszu,Kurs,Waluta,St. zw. 1D,St. zw. 7D,St. zw. 1M,St. zw. 3M,St. zw. 1R,St. zw. 3L,Data,Ranking 12M
Skarbiec Magna FIZ,"10 019,00",PLN,"0,00","0,00","0,19","0,00","0,00","0,00",2016-03-23,-
Skarbiec Market Neutral (Skarbiec FIO),"122,50",PLN,"0,20","-0,61","-1,78","-5,03","-2,69","12,54",2016-03-22,-
Skarbiec Market Opportunities (Skarbiec FIO),"136,35",PLN,"-0,34","-0,34","-0,46","-2,23","-8,45","0,00",2016-03-22,-
Skarbiec Małych i Średnich Spółek (Skarbiec FIO),"67,90",PLN,"-0,59","-0,54","2,97","-1,28","-7,49","23,97",2016-03-22,
Skarbiec MultiAsset FIZ,"10 083,90",PLN,"0,00","0,00","0,61","0,00","0,00","0,00",2016-03-23,-
Skarbiec na 5 FIZ AN,"100,00",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
Skarbiec Obligacja Instrumentów Dłużnych (Skarbiec FIO),"298,19",PLN,"-0,01","0,02","0,43","0,93","-0,07","9,88",2016-03-22,-
Skarbiec Obligacji Globalnych (Skarbiec FIO),"100,82",PLN,"0,00","0,05","0,17","0,76","0,00","0,00",2016-03-22,-
Skarbiec Rynków Rozwiniętych (Skarbiec FIO),"91,73",PLN,"0,33","0,79","3,90","-5,39","-12,21","8,30",2016-03-22,-
Skarbiec Rynków Rozwiniętych (USD) (Skarbiec FIO),"24,14",USD,"-0,08","2,51","7,72","-3,44","-10,72","-7,76",2016-03-22,-
Skarbiec Rynków Surowcowych (Skarbiec FIO),"52,06",PLN,"0,27","2,56","6,07","2,64","-20,72","-46,25",2016-03-22,-
Skarbiec Rynków Wschodzących (EUR) (Skarbiec FIO),"1,68",EUR,"0,60","3,07","7,69","-1,18","-17,24","-17,24",2016-03-22,-
Skarbiec Rynków Wschodzących (Skarbiec FIO),"7,16",PLN,"0,56","2,87","4,83","-0,69","-14,56","-15,67",2016-03-22,
Skarbiec Spółek Wzrostowych (Skarbiec FIO),"65,04",PLN,"-0,20","1,53","4,40","-8,19","-15,30","12,04",2016-03-22,
Skarbiec Top Brands (Skarbiec FIO),"112,80",PLN,"0,14","1,93","5,11","-9,70","-13,57","0,00",2016-03-22,
Skarbiec Waga Zrównoważony (Skarbiec FIO),"269,82",PLN,"-0,10","0,59","3,00","-1,25","-10,50","-0,85",2016-03-22,
Skarbiec Zdrowia FIZ AN,"10 000,00",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
SKOK Akcji (SKOK PARASOL FIO),"88,77",PLN,"0,78","2,61","3,96","4,73","-3,22","5,49",2016-03-22,
SKOK Etyczny 1 (SKOK PARASOL FIO),"122,59",PLN,"-0,03","-0,04","-0,03","1,21","-0,07","3,99",2016-03-22,
SKOK Etyczny 2 (SKOK PARASOL FIO),"96,49",PLN,"0,16","1,25","2,08","0,57","-6,57","0,00",2016-03-22,
SKOK FIO Rynku Pieniężnego,"149,84",PLN,"0,00","0,01","0,05","0,89","0,88","5,86",2016-03-22,-
SKOK Gotówkowy (SKOK PARASOL FIO),"120,58",PLN,"-0,07","-0,01","0,17","0,88","-0,14","7,23",2016-03-22,
SKOK Obligacji (SKOK PARASOL FIO),"174,67",PLN,"-0,13","-0,04","0,24","1,70","0,00","0,00",2016-03-22,-
SKOK Stabilny Zmiennej Alokacji (SKOK PARASOL FIO),"135,89",PLN,"0,04","0,09","0,47","-0,61","-3,82","3,96",2016-03-22,
Solution One FIZ seria C,"113,09",PLN,"0,00","0,00","-1,58","0,00","0,00","0,00",2016-03-23,-
subGO Fund Wierzytelności (GO FUND FIZ),"3,06",PLN,"0,00","0,00","0,00","-0,16","0,00","0,00",2016-03-23,-
subGO Micro (GO FUND FIZ),"1,10",PLN,"0,00","0,00","0,00","-5,44","0,00","0,00",2016-03-23,-
subGO Obligacje 1 (GO FUND FIZ),"1,67",PLN,"0,00","0,00","0,00","1,05","0,00","0,00",2016-03-23,-
subGO Wierzytelności Płynnych (GO FUND FIZ),"1,10",PLN,"0,00","0,00","0,00","1,15","0,00","0,00",2016-03-23,-
Superfund Akcji (EUR) (Superfund SFIO),"193,13",EUR,"0,32","1,13","3,06","-0,46","-8,71","15,10",2016-03-22,-
Superfund Akcji (Superfund SFIO),"822,54",PLN,"0,29","0,58","0,55","-0,04","-5,75","17,10",2016-03-22,
Superfund Akcji (USD) (Superfund SFIO),"216,43",USD,"-0,15","2,28","4,22","2,02","-4,17","-0,29",2016-03-22,-
Superfund Akcyjny (Superfund SFIO Portfelowy),"100,53",PLN,"0,36","0,42","0,41","-1,00","-8,84","0,00",2016-03-22,
Superfund Alternatywny (Superfund SFIO Portfelowy),"114,05",PLN,"-0,06","1,66","-2,88","-6,81","-11,96","0,00",2016-03-22,-
Superfund B (EUR) (Superfund SFIO),"231,95",EUR,"0,22","2,84","1,37","-4,13","-12,49","15,45",2016-03-22,-
Superfund B (Superfund SFIO),"987,88",PLN,"0,19","2,28","-1,10","-3,72","-9,66","17,46",2016-03-22,-
Superfund B (USD) (Superfund SFIO),"259,93",USD,"-0,25","4,01","2,50","-1,74","-8,14","0,02",2016-03-22,-
Superfund C (EUR) (Superfund SFIO),"204,71",EUR,"0,22","2,81","1,57","-3,67","-13,58","16,25",2016-03-22,-
Superfund C (Superfund SFIO),"871,87",PLN,"0,19","2,25","-0,91","-3,26","-10,79","18,27",2016-03-22,-
Superfund C (USD) (Superfund SFIO),"229,41",USD,"-0,25","3,98","2,71","-1,27","-9,28","0,71",2016-03-22,-
Superfund Goldfuture (EUR) (Superfund SFIO),"150,51",EUR,"-0,58","2,51","2,88","13,79","-6,60","-21,83",2016-03-22,-
Superfund Goldfuture (Superfund SFIO),"641,03",PLN,"-0,61","1,96","0,37","14,27","-3,58","-20,46",2016-03-22,-
Superfund Goldfuture (USD) (Superfund SFIO),"168,67",USD,"-1,05","3,68","4,03","16,62","-1,96","-32,27",2016-03-22,-
Superfund Obligacyjny (Superfund SFIO Portfelowy),"104,87",PLN,"0,00","-0,11","-0,32","-0,15","-1,39","0,00",2016-03-22,
Superfund Pieniężny (Superfund SFIO Portfelowy),"107,04",PLN,"0,00","0,01","0,03","0,19","1,96","0,00",2016-03-22,
Superfund Płynnościowy (EUR) (Superfund SFIO),"356,68",EUR,"0,03","0,56","2,57","-0,12","-1,01","0,00",2016-03-22,-
Superfund Płynnościowy (Superfund SFIO),"1 519,11",PLN,"0,00","0,01","0,07","0,30","2,19","0,00",2016-03-22,
Superfund Płynnościowy (USD) (Superfund SFIO),"399,71",USD,"-0,44","1,70","3,72","2,37","3,91","0,00",2016-03-22,-
